id,kl_set,text
oai:biopen.bi.no:11250/1615780,Ikke relevant,"Kjennetegn ved hvitsnippforbrytere Versjon i BI Brage er som publisert i tidsskriftets papirutgave. Forlagets e-utgave er tilgjengelig fra www.magma.no;Hvitsnippforbrytere er personer som begår økonomisk
kriminalitet i kraft av stilling, posisjon, nettverk
og tillit. De siste fem årene – fra 2009 til 2014 – ble
353 personer dømt til fengsel for hvitsnippkriminalitet
her i landet. Det var 24 kvinner (7 %) og
329 menn (93 %). Gjennomsnittlig alder ved domsavsigelse
var 48 år. Gjennomsnittlig fengselsstraff
var 2,2 år. 197 dømte avsluttet sin sak i tingretten
(56 %), 136 avsluttet i lagmannsretten (38 %) og 20 i
Høyesterett (6 %). Beløpet i kriminaliteten var gjennomsnittlig
på 48 millioner kroner. De fleste hvitsnippdømte
var ledere i kriminaliteten, og de fleste
var råtne epler i råtne epletønner. Denne artikkelen
presenterer forskjeller mellom ledere og medløpere
i kriminaliteten og mellom råtne epler og epletønner.
Karakteristiske trekk ved hvitsnippforbrytere
blir oppsummert, og forskjeller mellom lovlydige
og kriminelle hvitsnipper blir skissert.;1, OA"
oai:biopen.bi.no:11250/195608,Kjønns- og/eller likestillingsperspektiv,"De glemte kvinnevalgene;The mobilisation of Norwegian women as a political resource prior to 1913 Dette er siste forfatterversjon etter fagfellevurdering. Originalversjon tilgjengelig på idunn.no;Å framstille kvinner som en mer ensartet politisk gruppe enn menn, er felles for mange av beretningene om kvinnestemmeretten i Norge. Ser man på kvinners og menns valgadferd før stemmeretten ble gjort allmenn i 1913, trer imidlertid andre fortellinger fram – fortellinger der kjønnstilhørigheten ikke nødvendigvis skilte enkelindividers politiske opptreden. Ved hjelp av valgdata og analyser av bredere politiske og økonomiske prosesser diskuterer artikkelen de første valgene der kvinner fikk stemme etter censusprinsippet. Vårt hovedargument er at 1800-tallets økonomiske og sivilrettslige liberalisering fikk stor betydning for kvinnestemmerettens utvikling og anvendelse uten at dette har kommet tilstrekkelig til syne i de historiske framstillingene om samme tema.
The mobilisation of Norwegian women as a political resource prior to 1913 
In the parliamentary election of 1909, 295,000 Norwegian women were given the right to vote for the first time in a reform enacted two years earlier. Women with a taxable income – either in their own or their spouse’s right – above a certain threshold were granted suffrage and as many as 163,000 cast their ballot. The mobilisation was decisive in the victory of the conservative parties for two reasons. First, women in general tended to vote more conservatively than men and, second, the tendency was even more pronounced in the middle and upper strata of women receiving political citizenship on a national level for the first time. This article discusses «the forgotten female elections» prior to the introduction of universal female suffrage in June 1913 in the light of broader political and economic processes. It is suggested that women’s political mobilisation was closely linked to their economic mobilisation in the previous decades. Liberalisation of the Norwegian economy from the mid-nineteenth century onwards integrated a considerable number of women into the market economy. Their changing role in the urban economy, fostered partly by government reform and partly by transformation in the real economy, is important in our understanding why the elections prior to universal suffrage were characterised by very high turnouts among city women. The article suggests that more knowledge about the female elections before 1913 challenges the established historical narratives of female suffrage in Norway, narratives that have been made with universal suffrage as the point of departure in 1913. Indeed, 1913 was the year when the Norwegian Parliament granted political citizenship to all women, but at that point women had in fact already been exercising decisive influence in parliamentary elections. The election of 1909 was the breakthrough for women as a political resource in Norway.;1, Forfatterversjon"
oai:biopen.bi.no:11250/195610,Kjønns- og/eller likestillingsperspektiv,"Likestillingslandets skygge: utenlandske studenter og universitetets (dis)integrerende rolle i Norge;In Gender’s Shadow: Foreign Students and Universities Disintegrating Role in Modern Norway Dette er siste forfatterversjon av artikkelen etter fagfellevurdering. Original versjon er tilgjengelig på idunn.no;Kvinners suksess i høyere utdanning siden 70-tallet har omformet det norske samfunnet 
nedenfra, like fullt som det har forandret synet på hva kvinner duger til. Kjønnsrevolusjonen på universitetet er slik blitt en selvsagt tematikk i fortellingene om universitetet i det likestilte Norge. Leser man studentaviser og dokumenter fra UiO i dette sagnomsuste tiåret og det påfølgende, dannes derimot et annet bilde av likestillingslandet: For også utenlandske studenter krevde likestilling og inkludering i et universitetssystem som i økende grad skilte mellom ”vesten” og ”resten”, ”hvite” og ”fargede”.  Dette utfordrer veletablerte forestillinger om universitetets samfunnsintegrerende funksjon i det moderne Norge.


The mass entry of women into Norwegian higher education has been viewed by historians as a key arena for social and national integration. Apart from supporting near universal labor-market participation among women, the university formed a central sphere for feminist mobilization “from below” against systemic prejudice and practice in both the university and society. However, female students were not alone in challenging discrimination in this decade. Foreign students also mobilized, demanding equal treatment with Norwegian students in the wake of the “immigration stop” in 1975, which targeted unskilled immigrants from Asia and Africa. While Norwegian authorities later made some exceptions for non-Western students, the leading higher education institution, the University of Oslo, continued with discriminatory practices against foreigners. In 1981, for instance, the University introduced a quota system for applicants from non-Western countries in order to give room for students from “countries with systems and cultures of education more similar to our own”. This made the University a leading “producer” of racial discourses in late modern Norway even as it complied with most of the demands from “white” feminists. This practice contributed significantly to impeding the integration of non-Western immigrants into Norwegian society and reinforced the notion that women’s issues in Norway are detached and separate from the fight against racism and ethnic discrimination.;1, Forfatterversjon"
oai:biopen.bi.no:11250/2382021,Kjønns- og/eller likestillingsperspektiv,"Menns og kvinners sykefravær: hvilken rolle spiller antall barn? Dette er siste forfatterversjon, etter fagfellevurdering, før publisering.  Forlagets publikasjoner er tilgjengelige via www.idunn.no;Kvinners sykefravær øker dramatisk i alderen de får barn og forblir høyere enn menns sykefravær lenge etter at barna er voksne. Dette indikerer en årsakssammenheng fra barn til dårligere helse på lang sikt, kanskje gjennom en endring i total arbeidsbyrde – jf. hypotesen om «den doble byrde». Med bruk av norske registerdata instrumenterer vi menn og kvinners antall barn med kjønnssammensetningen av de to første barna og estimerer effekten av familiestørrelse på ulike helsemål; sykefravær, uførhet og mortalitet. Vi finner ingen negative helseeffekter av antall barn bortsett fra en økning i graviditetsrelatert fravær på kort sikt. På lang sikt (20–30 år) finner vi imidlertid tegn på positive helseeffekter.;1, Forfatterversjon"
oai:biopen.bi.no:11250/2395539,Kjønns- og/eller likestillingsperspektiv,"Voldelige jenters opplevelse av skolen som arena for læring og sosialt samspill Dette er originalversjon av artikkelen fra www.spesialpedagogikk.no;Kunnskapen om jenter med et volds- og aggresjonsproblem er langt mer sparsom enn tilsvarende vansker hos gutter. Denne studien utnytter data fra 9442 elever, hvorav 60 jenter og 254 gutter er definert til å ha voldelig atferd, for å undersøke hva som kjennetegner jenter som viser voldelig atferd. Resultatene viste blant annet at jenter med voldelig atferd trives dårligere, føler seg mer isolert og opplever sitt klassemiljø og relasjoner til medlever dårligere enn det gutter med voldelig atferd gjør. Resultatene og praktiske implikasjoner diskuteres i lys av relevant litteratur og tidligere forskning.;1. Originalversjon"
oai:biopen.bi.no:11250/2558348,Kjønns- og/eller likestillingsperspektiv,"Underveis: Menns og kvinners lederkarrierer;On the way. Men's and women's managerial careers in Norway I denne artikkelen undersøkes hvordan mannlige og kvinnelige lederes karrierer preges av stiavhengighet, ulike karrieredrivere og generasjonsforskjeller. Analysen er dels basert på paneldata fra AFFs lederundersøkelser, og følger et representativt utvalg av norske ledere i midtfasen av deres karrierer mellom 1999 og 2011. Funnene viser at menn starter på et høyere stillingsnivå og investerer mer tid i lederjobben, men at kvinner som blir stående i lederkarrieren, siden kan lykkes med å ta igjen noe av menns forsprang. Høy utdanning og jobb i privat sektor er viktige karrieredrivere for kvinner, mens det for menn tilsynelatende handler om å komme godt ut i starten og være villig til å jobbe lange dager. Kvinnelige ledere som befant seg tidlig i karrieren i 2011, hadde et mer gunstig utgangspunkt for videre karriere enn de som startet ut tolv år tidligere. Artikkelen viser hvordan panel- og kohortanalyse kan utvide forståelsen av menns og kvinners karriereløp, og peker avslutningsvis på hvordan slike tilnærminger kan utvikles videre.;On the way. Men’s and women’s managerial careers in Norway 
This article analyzes how men’s and women’s careers are influenced by path dependence, different career determinants, and generation gaps. The analysis is based on panel data from AFF’s leadership surveys, and follows a representative sample of Norwegian managers in the middle phase of their careers between 1999 and 2011. The data shows that male managers start their careers in higher managerial positions and invest longer hours in their jobs than their female colleagues. Women who are careerists do succeed, however, in reducing some of men’s advantage later on. Higher education and jobs in private Sector firms are significant determinants of women’s chances for reaching a top management position. For male managers it is seemingly more important to start their careers at high levels, and to invest in future promotion opportunities by working long hours. Young female managers at the outset of their careers in 2011 started in higher positions than those at the same age twelve years earlier. The article demonstrates how panel analysis and cohort analysis may bring new insights into men’s and women’s career trajectories, and concludes by suggesting how such approaches may be further developed in future research.;publishedVersion;1, OA"
oai:biopen.bi.no:11250/93346,Ikke relevant,Påvirker kvinner i styrer bedriftens innovasjonsevne? Versjon: Forlagets publiserte artikkel (pdf). Også tilgjengelig på www.magma.no (annet format);Artikkelen tar for seg hvorvidt og i hvilken grad kvinner i styrer påvirker bedriftens innovasjonsevne. Ut fra teorier om gruppeproduktivitet antar man at kvinners faktiske bidrag i styrer avhenger av styrets beslutningskultur. I teorien vil beslutningskulturen i styrer ses på som en mellomliggende faktor mellom andelen kvinner i styret og bedriftens innovasjonsevne. Vi har testet våre hypoteser på et utvalg på 341 norske mellomstore bedrifter. Funnene indikerer at en vurdering av styrekvinner kan ha en innflytelse på bedriftens innovasjonsevne gjennom styrets beslutningskultur. Dette gir interessante innspill til  praktisk handling og fremtidige forskningsprosjekter.
oai:biopen.bi.no:11250/93348,Kjønns- og/eller likestillingsperspektiv,"Styremedlemmene: Fra uavhengighet til mangfold og dynamisk kompetanse Versjon: Forlagets publiserte artikkel (pdf). Også tilgjengelig på www.magma.no (annet format);I debatten om kvinner i styrer er det ofte blitt trukket
fram at styremedlemmene må være mer kompetente,
men hva som menes med kompetente, og hvilke
kvalifikasjoner som kreves for å være kompetent
som styremedlem, er stort sett bare besvart overflatisk.
Spørsmålet om styrets og styremedlemmenes
kompetanse blir tatt opp i denne artikkelen. Artikkelen
er ikke utelukkende rettet mot kompetansen som
kreves av kvinner i styret, men mot den dynamiske
kompetansen som er ønskelig hos både menn og
kvinner. I artikkelen argumenteres det for at når et
styres sammensetning skal fastsettes og vurderes,
bør det bevege seg fra en ensidig uavhengighetsvurdering
til en vurdering av mangfold og dynamisk
kompetanse. Hvordan styremedlemmer rekrutteres,
presenteres også i denne artikkelen."
oai:biopen.bi.no:11250/93350,Kjønns- og/eller likestillingsperspektiv,"Kvinner i styrer - Lærdommer fra Norge Versjon: Forlagets publiserte artikkel (pdf). Også tilgjengelig på www.magma.no (annet format);Hva kan andre
land lære fra Norge?
Internasjonalt
er det meget
stor interesse
for hva som har
skjedd og skjer i Norge
i forbindelse
med loven
om
kjønnskvotering
i ASA-styrene.
Norge
er blitt sammenligningsgrunnlaget
som brukes
av politikere,
praktikere
og aktivister
i mange
land, og fungerer
som en lekegrind
for forskere.
I denne
artikkelen
presenteres
både en ramme
og enkeltarbeider
som
bidrar
til å møte denne
internasjonale
interessen.
Et
vanlig
spørsmål
som stilles,
er om loven
har vært
vellykket.
Svaret
avhenger
av hvilket
perspektiv
som
anvendes:
samfunnsperspektiv,
bedriftsperspektiv
eller
individperspektiv.
Utgangspunktet
for lovforslaget
er samfunnsperspektivet,
men det er ikke gitt
at loven
om kjønnsbalanse
har vært vellykket
for
samfunn,
bedrift
eller
den enkelte
kvinne
selv om
kvinneandelen
er blitt vel 40 prosent.
I artikkelen
presenteres
noen lærdommer
fra Norge,
men de
langsiktige
effektene
er det foreløpig
vanskelig
å
si noe om."
oai:biopen.bi.no:11250/93596,Ikke relevant,"Kjønnskvoterte styrer: om virkninger av kravet til likestilling i styrene til allmennaksjeselskapene Dette er siste forfatterversjon av artikkelen, etter fagfellevurdering, før publisering i tidsskriftet. Publisert versjon tilgjengelig i Idunn.no;Hvorfor var det så stor kjønnsubalanse i ASA-styrene at det måtte innføres en kvoteringsregel? Utviklingen etter at Gabrielsen annonserte regelen tyder på at Gabrielsen og departementet tok feil: Menn og kvinner har – tross departementets forsikringer – forskjellige kvalifikasjoner. Når flere menn enn kvinner har de kvalifikasjoner som ønskes, er det naturlig at mennene vil dominere i styrerommene."
